catalog,id,label,line,new_design_status,source_sha256,expression_in_source,scope,destination,null_zero_rule,visual_status
getDashboardWidgetCatalog,opening_balance,עו״ש פתיחה,6158,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,openingBalance,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663 (guards null->'—'). Value=getDisplayedOpeningBalance(sheet) which genuinely returns null (line 6068) when no anchor/manual/summary/carry exists -> renders '—'. This is exactly the CARRY-14 unknown case and it is handled: unknown opening shows '—', never ₪0.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,closing_balance,עו״ש סגירה,6159,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,closingBalance,משתמש וחודש נבחר,HOME_METRICS,SAFE. formatMetricValue at 6663 (guards null->'—'). Value=getDisplayedClosingBalance(sheet) returns null (line 6091) whenever opening is null -> renders '—'. This is the primary CARRY-14 metric and it correctly distinguishes 'balance unknown' ('—') from an actual ₪0 balance.,NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,expense_count,מספר הוצאות,6160,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,rows.length,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663 with format:'number' -> Intl number format (line 3982). Value=rows.length, always an integer >=0, never null. '0' is a true zero (no expense rows). Not currency so no ₪ shown.",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,avg_expense,ממוצע להוצאה,6161,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,rows.length ? stats.total / rows.length : null,משתמש וחודש נבחר,HOME_METRICS,"SAFE. formatMetricValue at 6663 (guards null->'—'). Expression 'rows.length ? stats.total/rows.length : null' -> when a month has zero expense rows the ternary yields null -> '—', not ₪0. This is the common empty-month case and it is handled correctly (division-by-zero avoided AND unknown shown as dash).",NEEDS_FRAME_AND_STATES
getDashboardWidgetCatalog,largest_expense,ההוצאה הגדולה,6162,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,biggestExpense.amount || null,משתמש וחודש נבחר,HOME_METRICS,SAFE. formatMetricValue at 6663 (guards null->'—'). Expression 'biggestExpense.amount || null'; biggestExpense seeds {amount:0} so with no rows amount=0 -> || null -> '—'. Empty month shows '—' not ₪0.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,avg_expense,ממוצע הוצאות חודשי,6237,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.averageExpense,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"PARTIALLY SAFE (no coercion bug, but a zero-vs-empty gap). Rendered via formatMetricValue at line 9274 (guards null->'—'). BUT value=summary.averageExpense which is computed as 'rows.length ? totalExpense/rows.length : 0' (line 6208) — for a year with NO documented months it returns 0, not null, so it renders ₪0 rather than '—'. No silent null->0 coercion at render, but the computation itself yields 0 for an empty year, so an empty year is indistinguishable from a genuine zero-average year. Dashboard avg_expense uses null for the same empty case; yearly uses 0 — inconsistent.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,avg_income,ממוצע הכנסות חודשי,6238,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.averageIncome,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"PARTIALLY SAFE (zero-vs-empty gap). formatMetricValue at 9274 (guards null). value=summary.averageIncome = 'rows.length ? totalIncome/rows.length : 0' (line 6209) -> empty year shows ₪0, not '—'. No render coercion bug; the 0 originates in computation. Same inconsistency with the null-using dashboard avg.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,avg_balance,ממוצע מאזן חודשי,6239,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.averageBalance,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,PARTIALLY SAFE (zero-vs-empty gap). formatMetricValue at 9274. value=summary.averageBalance = 'rows.length ? totalMonthlyBalance/rows.length : 0' (line 6210) -> empty year -> ₪0 not '—'. Computation returns 0 for no data; no render-time coercion.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,year_to_date_savings,חיסכון מתחילת השנה,6240,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.yearToDateSavings,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,PARTIALLY SAFE (zero-vs-empty gap). formatMetricValue at 9274. value=summary.yearToDateSavings = 'rows.length ? rows[last].cumulativeBalance : 0' (line 6211) -> empty year -> ₪0 not '—'. No render coercion; the 0 is a computed default for no data.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,rolling_three_balance,מאזן 3 חודשים אחרונים,6241,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.rollingThreeBalance,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"PARTIALLY SAFE (zero-vs-empty gap). formatMetricValue at 9274. value=summary.rollingThreeBalance = rows.slice(-3).reduce(...,0) (line 6212) -> empty year yields 0 (empty reduce) -> ₪0 not '—'. No render coercion; 0 from empty reduce, not from null.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,annual_expense_total,סה״כ הוצאות שנתיות,6242,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.totalExpense,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"SAFE. formatMetricValue at 9274. value=summary.totalExpense = reduce from 0 (line 6203) -> always a number. ₪0 for a year is a plausible true zero (no expenses) — acceptable, though empty year also shows 0.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,annual_income_total,סה״כ הכנסות שנתיות,6243,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.totalIncome,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,SAFE. formatMetricValue at 9274. value=summary.totalIncome = reduce from 0 (line 6204) -> always a number. ₪0 is a true zero.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,annual_fixed_total,סה״כ קבועות,6244,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.totalFixed,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,SAFE. formatMetricValue at 9274. value=summary.totalFixed = reduce from 0 (line 6205) -> always a number. ₪0 is a true zero.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,annual_variable_total,סה״כ משתנות,6245,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.totalVariable,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,SAFE. formatMetricValue at 9274. value=summary.totalVariable = reduce from 0 (line 6206) -> always a number. ₪0 is a true zero.,NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,best_balance_month,החודש הכי חזק,6246,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.bestBalanceMonth?.monthlyBalance ?? null,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"SAFE. formatMetricValue at 9274 (guards null->'—'). Expression 'summary.bestBalanceMonth?.monthlyBalance ?? null'; bestBalanceMonth is reduce(...,null) (line 6213) so with no rows it stays null -> ?? null -> '—'. Empty year shows '—' correctly.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,worst_balance_month,החודש הכי חלש,6247,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.worstBalanceMonth?.monthlyBalance ?? null,שנה נבחרת / גיליונות מתועדים,YEAR_METRICS,"SAFE. formatMetricValue at 9274 (guards null->'—'). Expression 'summary.worstBalanceMonth?.monthlyBalance ?? null'; worstBalanceMonth is reduce(...,null) (line 6214) -> null when no rows -> '—'. Correct.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,total_debt_remaining,סך כל חובות פתוחים,6251,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.totalDebtRemaining || null,משתמש / יתרות נכון להיום; תנאי מעקב חוב,YEAR_METRICS,"SAFE. formatMetricValue at 9274 (guards null->'—'). Expression 'summary.totalDebtRemaining || null' = bankRemaining+fatherRemaining (both Math.max(0,...) numbers); 0 -> null -> '—'. Widget only present when isDebtTrackingEnabled(). NOTE: line moved — this widget is inserted via widgets.splice(7,0,...) at line 6250-6251, not a static array position.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,bank_remaining,יתרת חוב לבנק,6252,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.bankRemaining || null,משתמש / יתרות נכון להיום; תנאי מעקב חוב,YEAR_METRICS,"SAFE. formatMetricValue at 9274 (guards null->'—'). Expression 'summary.bankRemaining || null'; bankRemaining=Math.max(0,...) so a number, 0 -> null -> '—'. Inserted via splice at line 6252, debt-tracking only.",NEEDS_FRAME_AND_STATES
getYearlyWidgetCatalog,father_remaining,יתרת חוב לאבא,6253,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,summary.fatherRemaining || null,משתמש / יתרות נכון להיום; תנאי מעקב חוב,YEAR_METRICS,"SAFE. formatMetricValue at 9274 (guards null->'—'). Expression 'summary.fatherRemaining || null'; fatherRemaining=Math.max(0,...) number, 0 -> null -> '—'. Inserted via splice at line 6253, debt-tracking only.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,totalExpenses,סה״כ הוצאות,6180,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.totalExpenses,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. Column value rendered via fmtOrDash(row[column.id]) at line 9288 (returns '—' for null/'' , line 5610). Computation row.totalExpenses=stats.total (line 6180) = reduce from 0 -> always a number, never null; fmtOrDash renders ₪0 for a true zero. No coercion bug.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,fixed,קבועות,6181,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.fixed,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.fixed=stats.fixed (line 6181), always a number from reduce seeded 0. ₪0 is a true zero.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,variable,משתנות,6182,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.variable,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.variable=stats.variable (line 6182), always a number. ₪0 true zero.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,income,הכנסות,6183,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.income,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.income=getIncomeTotal(sheet) (line 6183), reduce from 0 -> always a number. ₪0 means no income that month (true zero).",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,monthlyBalance,מאזן חודשי,6184,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.monthlyBalance,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.monthlyBalance=income-stats.total-loanTotal (line 6176), all numeric operands -> always finite. ₪0 true zero.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,cumulativeBalance,מאזן מצטבר,6185,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.cumulativeBalance,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.cumulativeBalance=running sum (line 6185), always a number. ₪0 true zero. NOTE: label changed since CSV — code label is now 'נצבר מתחילת השנה' (line 6269, D-10 wave 3 rename), CSV still says 'מאזן מצטבר'. Value/formula unchanged.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,immediate,מיידי,6186,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.immediate,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.immediate=stats.immediate (line 6186), always a number from reduce seeded 0. ₪0 true zero.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,transfers,העברות בנקאיות,6187,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.transfers,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.transfers=stats.transfers (line 6187), always a number. ₪0 true zero.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,loan,הלוואה חודשית,6188,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.loan,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288 (guards null->'—'). Expression 'loanEntry?.total || null' (line 6188) -> when no loan schedule entry for that month it is null -> '—', not ₪0. Column only present when isDebtTrackingEnabled() (line 6275). Correctly distinguishes 'no loan entry' from a zero payment.",NEEDS_FRAME_AND_STATES
getYearlyColumnCatalog,father,החזר לאבא,6189,NEEDS_EXPLICIT_DESTINATION,2537fe409f5e1a4fc4b6bcb4bc72c8334d26420f2d55427d9ae33854c497ac51,row.father,שנה נבחרת / גיליונות מתועדים,YEAR_MONTH_DETAIL_AND_COLUMNS,"SAFE. fmtOrDash at 9288. row.father=getFatherRepaymentTotal(sheet) (line 6189), reduce from 0 -> always a number (NOT || null here, unlike loan). So a month with no father repayment shows ₪0, not '—'. Minor inconsistency with the loan column which uses '—' for its empty case; not a coercion bug. Column debt-tracking only.",NEEDS_FRAME_AND_STATES
